time_s,mean_velocity_m_per_s,pressure_drop_pa,relative_update,courant
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.000000000000e+00,0.000000000000e+00
5.000000000000e-02,1.933668315304e-02,2.540330024256e+03,1.008572112586e+00,4.931866702458e-02
1.000000000000e-01,3.680856549612e-02,4.837403120149e+03,4.790772436941e-01,9.391270795546e-02
1.500000000000e-01,5.259478214480e-02,6.914702126251e+03,3.029543381621e-01,1.342068793824e-01
2.000000000000e-01,6.685686766238e-02,8.792918179876e+03,2.153190140174e-01,1.706110215157e-01
2.500000000000e-01,7.974107095089e-02,1.049084666043e+04,1.630881481958e-01,2.034982184574e-01
3.000000000000e-01,9.137978864277e-02,1.202557333315e+04,1.285591886507e-01,2.332063723912e-01
3.500000000000e-01,1.018928393790e-01,1.341261319491e+04,1.041440223533e-01,2.600412986045e-01
4.000000000000e-01,1.113886284790e-01,1.466604253884e+04,8.604793723117e-02,2.842796855161e-01
4.500000000000e-01,1.199652118134e-01,1.579862379898e+04,7.216226551022e-02,3.061718084323e-01
5.000000000000e-01,1.277112657207e-01,1.682192199322e+04,6.122140675312e-02,3.259440044456e-01
5.500000000000e-01,1.347069699223e-01,1.774641244060e+04,5.241964997925e-02,3.438009254527e-01
6.000000000000e-01,1.410248102996e-01,1.858157989633e+04,4.521958233854e-02,3.599275867390e-01
6.500000000000e-01,1.467303081298e-01,1.933600947087e+04,3.924892334539e-02,3.744912279427e-01
7.000000000000e-01,1.518826820117e-01,2.001746980303e+04,3.424157226326e-02,3.876430022903e-01
7.500000000000e-01,1.565354483124e-01,2.063298900006e+04,3.000223596847e-02,3.995195089693e-01
8.000000000000e-01,1.607369655467e-01,2.118892386727e+04,2.638432085725e-02,4.102441824450e-01
8.500000000000e-01,1.645309276967e-01,2.169102294135e+04,2.327562710413e-02,4.199285514864e-01
9.000000000000e-01,1.679568110753e-01,2.214448382224e+04,2.058881097387e-02,4.286733796522e-01
9.500000000000e-01,1.710502789678e-01,2.255400527346e+04,1.825485847761e-02,4.365696980299e-01
1.000000000000e+00,1.738435479231e-01,2.292383453252e+04,1.621851634473e-02,4.436997401115e-01
1.050000000000e+00,1.763657192401e-01,2.325781024409e+04,1.443502781838e-02,4.501377878463e-01
1.100000000000e+00,1.786430788813e-01,2.355940139879e+04,1.286775805719e-02,4.559509371196e-01
1.150000000000e+00,1.806993687621e-01,2.383174263176e+04,1.148643835519e-02,4.611997901805e-01
1.200000000000e+00,1.825560321007e-01,2.407766620762e+04,1.026584866173e-02,4.659390818667e-01
1.250000000000e+00,1.842324352693e-01,2.429973099149e+04,9.184815656224e-03,4.702182458596e-01
1.300000000000e+00,1.857460683678e-01,2.450024868144e+04,8.225441407576e-03,4.740819266305e-01
1.350000000000e+00,1.871127265337e-01,2.468130755395e+04,7.372502831223e-03,4.775704422244e-01
1.400000000000e+00,1.883466738197e-01,2.484479395242e+04,6.612979245243e-03,4.807202025487e-01
1.450000000000e+00,1.894607912973e-01,2.499241172871e+04,5.935677111507e-03,4.835640874041e-01
1.500000000000e+00,1.904667108931e-01,2.512569982876e+04,5.330929296711e-03,4.861317880965e-01
1.550000000000e+00,1.913749363186e-01,2.524604819670e+04,4.790352041548e-03,4.884501161120e-01
1.600000000000e+00,1.921949523326e-01,2.535471215549e+04,4.306647032852e-03,4.905432820070e-01
1.650000000000e+00,1.929353234522e-01,2.545282540832e+04,3.873439032346e-03,4.924331473703e-01
1.700000000000e+00,1.936037831267e-01,2.554141179118e+04,3.485141764181e-03,4.941394524408e-01
1.750000000000e+00,1.942073142910e-01,2.562139589553e+04,3.136846433257e-03,4.956800217221e-01
1.800000000000e+00,1.947522221279e-01,2.569361266832e+04,2.824228498252e-03,4.970709497106e-01
1.850000000000e+00,1.952441997897e-01,2.575881608730e+04,2.543469270204e-03,4.983267686524e-01
1.900000000000e+00,1.956883877577e-01,2.581768699968e+04,2.291189629768e-03,4.994606000616e-01
1.950000000000e+00,1.960894274542e-01,2.587084020448e+04,2.064393711562e-03,5.004842915667e-01
2.000000000000e+00,1.964515096603e-01,2.591883085094e+04,1.860420834008e-03,5.014085405007e-01
2.050000000000e+00,1.967784182434e-01,2.596216021880e+04,1.676904288502e-03,5.022430055168e-01
2.100000000000e+00,1.970735696453e-01,2.600128093970e+04,1.511735865063e-03,5.029964073857e-01
2.150000000000e+00,1.973400485435e-01,2.603660171360e+04,1.363035199648e-03,5.036766200220e-01
2.200000000000e+00,1.975806400535e-01,2.606849156888e+04,1.229123193709e-03,5.042907526838e-01
2.250000000000e+00,1.977978588087e-01,2.609728370996e+04,1.108498888770e-03,5.048452242008e-01
2.300000000000e+00,1.979939752193e-01,2.612327899242e+04,9.998192850765e-04,5.053458300021e-01
2.350000000000e+00,1.981710391838e-01,2.614674906142e+04,9.018816792752e-04,5.057978026413e-01
2.400000000000e+00,1.983309014995e-01,2.616793918613e+04,8.136081658356e-04,5.062058664495e-01
2.450000000000e+00,1.984752331958e-01,2.618707081928e+04,7.340320039072e-04,5.065742868836e-01
2.500000000000e+00,1.986055429908e-01,2.620434390877e+04,6.622855980023e-04,5.069069150868e-01
2.550000000000e+00,1.987231930535e-01,2.621993898496e+04,5.975898794228e-04,5.072072281224e-01
2.600000000000e+00,1.988294132363e-01,2.623401904568e+04,5.392449072043e-04,5.074783653035e-01
2.650000000000e+00,1.989253139250e-01,2.624673125825e+04,4.866215338720e-04,5.077231609945e-01
2.700000000000e+00,1.990118976425e-01,2.625820849651e+04,4.391540034246e-04,5.079441742290e-01
2.750000000000e+00,1.990900695247e-01,2.626857072863e+04,3.963333675291e-04,5.081437154517e-01
2.800000000000e+00,1.991606467795e-01,2.627792627025e+04,3.577016215331e-04,5.083238706634e-01
2.850000000000e+00,1.992243672280e-01,2.628637291606e+04,3.228464751137e-04,5.084865232218e-01
2.900000000000e+00,1.992818970149e-01,2.629399896147e+04,2.913966835898e-04,5.086333735247e-01
2.950000000000e+00,1.993338375716e-01,2.630088412516e+04,2.630178754737e-04,5.087659567827e-01
3.000000000000e+00,1.993807319018e-01,2.630710038205e+04,2.374088199915e-04,5.088856590644e-01
3.050000000000e+00,1.994230702574e-01,2.631271271540e+04,2.142980853176e-04,5.089937317845e-01
3.100000000000e+00,1.994612952628e-01,2.631777979584e+04,1.934410442740e-04,5.090913047842e-01
3.150000000000e+00,1.994958065417e-01,2.632235459460e+04,1.746171894560e-04,5.091793981408e-01
3.200000000000e+00,1.995269648943e-01,2.632648493701e+04,1.576277242577e-04,5.092589328313e-01
3.250000000000e+00,1.995550960687e-01,2.633021400241e+04,1.422934001668e-04,5.093307403588e-01
3.300000000000e+00,1.995804941662e-01,2.633358077541e+04,1.284525741180e-04,5.093955714451e-01
3.350000000000e+00,1.996034247156e-01,2.633662045336e+04,1.159594626727e-04,5.094541038781e-01
3.400000000000e+00,1.996241274491e-01,2.633936481426e+04,1.046825723864e-04,5.095069495970e-01
3.450000000000e+00,1.996428188084e-01,2.634184254891e+04,9.450328802445e-05,5.095546610899e-01
3.500000000000e+00,1.996596942071e-01,2.634407956080e+04,8.531460229693e-05,5.095977371690e-01
3.550000000000e+00,1.996749300741e-01,2.634609923690e+04,7.701997254266e-05,5.096366281854e-01
3.600000000000e+00,1.996886856972e-01,2.634792269212e+04,6.953229138297e-05,5.096717407373e-01
3.650000000000e+00,1.997011048892e-01,2.634956899003e+04,6.277295972317e-05,5.097034419201e-01
3.700000000000e+00,1.997123174907e-01,2.635105534213e+04,5.667105173437e-05,5.097320631648e-01
3.750000000000e+00,1.997224407280e-01,2.635239728780e+04,5.116256251394e-05,5.097579037026e-01
3.800000000000e+00,1.997315804383e-01,2.635360885672e+04,4.618973010781e-05,5.097812336928e-01
3.850000000000e+00,1.997398321760e-01,2.635470271558e+04,4.170042443624e-05,5.098022970479e-01
3.900000000000e+00,1.997472822124e-01,2.635569030041e+04,3.764759642811e-05,5.098213139831e-01
3.950000000000e+00,1.997540084369e-01,2.635658193624e+04,3.398878135925e-05,5.098384833187e-01
4.000000000000e+00,1.997600811716e-01,2.635738694495e+04,3.068565100368e-05,5.098539845587e-01
4.050000000000e+00,1.997655639065e-01,2.635811374280e+04,2.770360974796e-05,5.098679797674e-01
4.100000000000e+00,1.997705139632e-01,2.635876992835e+04,2.501143031922e-05,5.098806152638e-01
4.150000000000e+00,1.997749830943e-01,2.635936236193e+04,2.258092520153e-05,5.098920231513e-01
4.200000000000e+00,1.997790180243e-01,2.635989723738e+04,2.038665022501e-05,5.099023226987e-01
4.250000000000e+00,1.997826609382e-01,2.636038014676e+04,1.840563715222e-05,5.099116215872e-01
4.300000000000e+00,1.997859499225e-01,2.636081613884e+04,1.661715240805e-05,5.099200170364e-01
4.350000000000e+00,1.997889193635e-01,2.636120977189e+04,1.500247938446e-05,5.099275968204e-01
4.400000000000e+00,1.997916003065e-01,2.636156516130e+04,1.354472200242e-05,5.099344401856e-01
4.450000000000e+00,1.997940207807e-01,2.636188602266e+04,1.222862744857e-05,5.099406186791e-01
4.500000000000e+00,1.997962060921e-01,2.636217571055e+04,1.104042620536e-05,5.099461968969e-01
4.550000000000e+00,1.997981790881e-01,2.636243725364e+04,9.967687681361e-06,5.099512331592e-01
4.600000000000e+00,1.997999603963e-01,2.636267338635e+04,8.999189917713e-06,5.099557801200e-01
4.650000000000e+00,1.998015686403e-01,2.636288657744e+04,8.124801989559e-06,5.099598853177e-01
4.700000000000e+00,1.998030206342e-01,2.636307905581e+04,7.335377866126e-06,5.099635916720e-01
4.750000000000e+00,1.998043315586e-01,2.636325283382e+04,6.622660609487e-06,5.099669379328e-01
4.800000000000e+00,1.998055151193e-01,2.636340972831e+04,5.979195899125e-06,5.099699590853e-01
4.850000000000e+00,1.998065836902e-01,2.636355137962e+04,5.398253980268e-06,5.099726867156e-01
4.900000000000e+00,1.998075484434e-01,2.636367926869e+04,4.873759203182e-06,5.099751493410e-01
4.950000000000e+00,1.998084194653e-01,2.636379473262e+04,4.400226425332e-06,5.099773727082e-01
5.000000000000e+00,1.998092058624e-01,2.636389897857e+04,3.972703597933e-06,5.099793800626e-01
5.050000000000e+00,1.998099158565e-01,2.636399309643e+04,3.586719939850e-06,5.099811923910e-01
5.100000000000e+00,1.998105568706e-01,2.636407807020e+04,3.238239151213e-06,5.099828286414e-01
5.150000000000e+00,1.998111356066e-01,2.636415478828e+04,2.923617181329e-06,5.099843059206e-01
5.200000000000e+00,1.998116581150e-01,2.636422405277e+04,2.639564098734e-06,5.099856396736e-01
5.250000000000e+00,1.998121298587e-01,2.636428658781e+04,2.383109673251e-06,5.099868438449e-01
5.300000000000e+00,1.998125557698e-01,2.636434304722e+04,2.151572302702e-06,5.099879310241e-01
5.350000000000e+00,1.998129403012e-01,2.636439402127e+04,1.942530960833e-06,5.099889125775e-01
5.400000000000e+00,1.998132874732e-01,2.636444004290e+04,1.753799873852e-06,5.099897987674e-01
5.450000000000e+00,1.998136009154e-01,2.636448159327e+04,1.583405657347e-06,5.099905988589e-01
5.500000000000e+00,1.998138839049e-01,2.636451910678e+04,1.429566674636e-06,5.099913212168e-01
5.550000000000e+00,1.998141394004e-01,2.636455297563e+04,1.290674405917e-06,5.099919733936e-01
5.600000000000e+00,1.998143700730e-01,2.636458355394e+04,1.165276623362e-06,5.099925622076e-01
5.650000000000e+00,1.998145783344e-01,2.636461116138e+04,1.052062203483e-06,5.099930938150e-01
5.700000000000e+00,1.998147663621e-01,2.636463608660e+04,9.498474174680e-07,5.099935737736e-01
5.750000000000e+00,1.998149361217e-01,2.636465859020e+04,8.575635499656e-07,5.099940071015e-01
5.800000000000e+00,1.998150893883e-01,2.636467890744e+04,7.742457250027e-07,5.099943983291e-01
5.850000000000e+00,1.998152277641e-01,2.636469725075e+04,6.990228157052e-07,5.099947515467e-01
5.900000000000e+00,1.998153526959e-01,2.636471381189e+04,6.311083333810e-07,5.099950704472e-01
5.950000000000e+00,1.998154654898e-01,2.636472876403e+04,5.697922065599e-07,5.099953583646e-01
6.000000000000e+00,1.998155673252e-01,2.636474226348e+04,5.144333532365e-07,5.099956183093e-01
6.050000000000e+00,1.998156592667e-01,2.636475445138e+04,4.644529793030e-07,5.099958529988e-01
